date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:31:10	7848/7848	---M--	200	added ('OK')	font/woff2	date:Tue,%2018%20Mar%202025%2011:31:06%20GMT	https://ektechnologies-soutions.b12sites.com/assets/fonts/poppins-latin-normal-700.woff2	C:/My%20Web%20Sites/edu33/ektechnologies-soutions.b12sites.com/assets/fonts/poppins-latin-normal-700.woff2	(from https://ektechnologies-soutions.b12sites.com/index)
14:31:10	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2018%20Mar%202025%2011:31:06%20GMT	http://ektechnologies-soutions.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot	C:/My%20Web%20Sites/edu33/ektechnologies-soutions.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot	(from https://ektechnologies-soutions.b12sites.com/index)
14:31:12	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2018%20Mar%202025%2011:31:08%20GMT	http://ektechnologies-soutions.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot?	C:/My%20Web%20Sites/edu33/ektechnologies-soutions.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713d41d.eot	(from https://ektechnologies-soutions.b12sites.com/index)
14:31:12	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2018%20Mar%202025%2011:31:07%20GMT	https://ektechnologies-soutions.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot	C:/My%20Web%20Sites/edu33/ektechnologies-soutions.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot	(from https://ektechnologies-soutions.b12sites.com/index)
14:31:14	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2018%20Mar%202025%2011:31:09%20GMT	http://ektechnologies-soutions.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff2	C:/My%20Web%20Sites/edu33/ektechnologies-soutions.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff2	(from https://ektechnologies-soutions.b12sites.com/index)
14:31:14	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2018%20Mar%202025%2011:31:09%20GMT	https://ektechnologies-soutions.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot?	C:/My%20Web%20Sites/edu33/ektechnologies-soutions.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713d41d.eot	(from https://ektechnologies-soutions.b12sites.com/index)
14:31:15	979/979	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Mar%202025%2011:31:11%20GMT	https://ektechnologies-soutions.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff2	C:/My%20Web%20Sites/edu33/ektechnologies-soutions.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.1c.delayed	(from https://ektechnologies-soutions.b12sites.com/index)
14:31:16	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2018%20Mar%202025%2011:31:12%20GMT	http://ektechnologies-soutions.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff	C:/My%20Web%20Sites/edu33/ektechnologies-soutions.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff	(from https://ektechnologies-soutions.b12sites.com/index)
14:31:18	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2018%20Mar%202025%2011:31:14%20GMT	http://ektechnologies-soutions.b12sites.com/assets/fonts/fontawesome-webfont-b06871f281fee6b241d60582ae9369b9.ttf	C:/My%20Web%20Sites/edu33/ektechnologies-soutions.b12sites.com/assets/fonts/fontawesome-webfont-b06871f281fee6b241d60582ae9369b9.ttf	(from https://ektechnologies-soutions.b12sites.com/index)
14:31:18	98024/98024	---M--	200	added ('OK')	font/woff	date:Tue,%2018%20Mar%202025%2011:31:13%20GMT	https://ektechnologies-soutions.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff	C:/My%20Web%20Sites/edu33/ektechnologies-soutions.b12sites.com/assets/fonts/fontawesome-webfont-fee66e712a8a08eef5805a46892932ad.woff	(from https://ektechnologies-soutions.b12sites.com/index)
